error,error_type,integrity_errors,observation,report,schema,sha256,status,wandb
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/calibration/cdrm-lr1e-3-e10/report.json,cdrm-fuzzy-calibration-v1,30be48456c16bab1d812459fc02bdd6e01ed656c3dd5bff39e9c9a8af7c7742a,complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""cdrm-lr1e-3-e10"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""7mnh8n81"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/7mnh8n81"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/calibration/cdrm-lr1e-4-e10/report.json,cdrm-fuzzy-calibration-v1,a2f402927688f656c9003bef08581a25132d137f6305e8c75bb9108152f1b157,complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""cdrm-lr1e-4-e10"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""861htuqq"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/861htuqq"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/calibration/cdrm-lr5e-4-e10/report.json,cdrm-fuzzy-calibration-v1,c3534e4360beaa0c8d6d9c090c5f3478dfe9f8fd845cca30d46e3210be6853aa,complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""cdrm-lr5e-4-e10"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""djh5k3gq"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/djh5k3gq"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/calibration/cdrm-lr5e-4-prefix/report.json,cdrm-fuzzy-calibration-v1,d270f84fb86258d4d40b3309f0759c58d1be622be2cd864db005994ff2e1c965,complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""cdrm-lr5e-4-prefix"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""9yzuhr1q"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/9yzuhr1q"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/calibration/seq-lr1e-3-e10/report.json,cdrm-fuzzy-calibration-v1,2982aa5648cfe1563bb57723fc644262cf1cafba5eb36a0ff6efd6441f10e1af,complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""seq-lr1e-3-e10"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""1tpicyu2"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/1tpicyu2"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/calibration/seq-lr1e-4-e10/report.json,cdrm-fuzzy-calibration-v1,0736cba433e44e5b07b8daa18456513c2951cb7ab2988f287847ea56ed7741e3,complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""seq-lr1e-4-e10"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""zvwlu7ic"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/zvwlu7ic"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/calibration/seq-lr5e-4-e10/report.json,cdrm-fuzzy-calibration-v1,6f18b17893871277d64ae51c5642e0c8a68abe81c068936b7e046e30f58f0b87,complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""seq-lr5e-4-e10"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""e7i4voez"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/e7i4voez"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/calibration/seq-lr5e-4-prefix/report.json,cdrm-fuzzy-calibration-v1,dca58f9d249bec9297e752794b5ad01caf11cb4a5f2a03052cc90963d3af3cbf,complete,"{""enabled"": true, ""entity"": ""taylorbollman"", ""group"": ""20260908T031418Z"", ""mode"": ""online"", ""name"": ""seq-lr5e-4-prefix"", ""project"": ""cdrm-150m-fuzzy-recall"", ""project_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall"", ""run_id"": ""hgd681c1"", ""run_url"": ""https://wandb.ai/taylorbollman/cdrm-150m-fuzzy-recall/runs/hgd681c1"", ""status"": ""synced"", ""system_stats"": false}"
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/data/calibration/length256/manifest.json,cdrm-fuzzy-preparation-v1,1fdacf3c50c866e4af37aec695a1a3d914ad6b0c2a753c7a362aaaac52c5beda,complete,
,,[],closed_report,/workspace/cdrm-w-latent/.runtime/cdrm-150m-fuzzy-recall/20260908T031418Z/data/numerical/length128/manifest.json,cdrm-fuzzy-preparation-v1,fd10f19219831af60a091a53f3337c15e6d4bf9325cfbf89a68fc20aab33c191,complete,
