setting_label,task,preset,topology,seed,report,evidence,setting_id,depth,width,heads,length,data_sha256,update,epoch,native_loss,native_targets,input_tokens,learning_rate,gradient_norm,seconds,cumulative_recorded_update_seconds
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,1,1,3.218366861343384,4064,4064,0.0005,9.27244758605957,0.5461686519993236,0.5461686519993236
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,2,1,3.4982714653015137,4064,4064,0.0005,7.660427570343018,0.3313763579935767,0.8775450099929003
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,3,1,3.174924850463867,4064,4064,0.0005,8.540736198425293,0.3240969160106033,1.2016419260035036
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,4,1,2.84850811958313,4064,4064,0.0005,3.1366195678710938,0.3325172569893766,1.5341591829928802
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,5,1,2.722222328186035,4064,4064,0.0005,2.60495924949646,0.33205195899063256,1.8662111419835128
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,6,1,2.598233222961426,4064,4064,0.0005,2.4329073429107666,0.32611916899622884,2.1923303109797416
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,7,1,2.449390172958374,4064,4064,0.0005,1.4917551279067993,0.3280091789929429,2.5203394899726845
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,8,1,2.313746690750122,4064,4064,0.0005,2.0199618339538574,0.32963731700147036,2.849976806974155
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,9,1,2.2130637168884277,4064,4064,0.0005,2.3319461345672607,0.3296762029931415,3.1796530099672964
in-context-recall V16,in-context-recall,d128,cdrm,0,.runtime/cdrm-naive/20260907T123830Z/ops-fresh-v2/report.json,OPS,cd8150d916df4aacda171b28c8a439e1cd05c818414f032ee7d16bb20ca7e68f,12,128,16,127,230954116c893f7e6061ea394c9ecb84206336c5dd80de0635ef4ca54d76d874,10,1,2.093038558959961,4064,4064,0.0005,1.3793612718582153,0.33502724299614783,3.514680252963444
