setting_label,task,preset,topology,seed,report,evidence,setting_id,depth,width,heads,length,data_sha256,update,epoch,native_loss,native_targets,input_tokens,learning_rate,gradient_norm,seconds,cumulative_recorded_update_seconds
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,1,1,3.106008529663086,12288,32768,0.0005,11.360916137695312,0.19422243000008166,0.19422243000008166
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,2,1,3.207852840423584,12288,32768,0.0005,7.130736827850342,0.04580556300061289,0.24002799300069455
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,3,1,3.0425548553466797,12288,32768,0.0005,3.827256679534912,0.04561195599671919,0.28563994899741374
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,4,1,2.945284605026245,12288,32768,0.0005,3.1888208389282227,0.04556194199540187,0.3312018909928156
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,5,1,2.807764768600464,12288,32768,0.0005,1.8665000200271606,0.0462965430051554,0.377498433997971
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,6,1,2.7059552669525146,12288,32768,0.0005,1.4825959205627441,0.045777936989907175,0.4232763709878782
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,7,1,2.6627354621887207,12288,32768,0.0005,0.8877339363098145,0.0456314910115907,0.4689078619994689
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,8,1,2.6899776458740234,12288,32768,0.0005,1.534825086593628,0.04569730599178001,0.5146051679912489
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,9,1,2.701655149459839,12288,32768,0.0005,1.4776482582092285,0.04585801799839828,0.5604631859896472
copy-v16-t256-k96,selective-copying,d128_6,seq,0,.runtime/cdrm-naive/20260907T123830Z/continue6-copy96-seq-s0-e45/report.json,SYN,743ee93a1f5a07aa19283096596985e4f79a0251299bfd46beedee5fa8094c33,6,128,16,256,f220aa1bf3505116c09d66c4ee544779911c9a6640ecb604aa857b8f81d18db0,10,1,2.6817145347595215,12288,32768,0.0005,1.1206319332122803,0.04611878399737179,0.606581969987019
