setting_label,task,preset,topology,seed,report,evidence,setting_id,depth,width,heads,length,data_sha256,epoch,update,cumulative_recorded_update_seconds,ce,token_accuracy,sequence_exact_match,targets,examples,native_ce
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,0,0,0.0,3.0364459991455077,0.1224609375,0.0,71680,1280,3.0364459991455077
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,1,100,3.913812148850411,1.6073645455496652,0.31840122767857143,0.0,71680,1280,1.6073645455496652
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,2,200,7.6743183498765575,0.002484844531863928,0.9999162946428571,0.9953125,71680,1280,0.002484844531863928
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,3,300,11.445202877861448,0.0008899533788540533,0.9999720982142857,0.9984375,71680,1280,0.0008899533788540533
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,4,400,15.183799748876481,0.0004986144402729613,0.9999720982142857,0.9984375,71680,1280,0.0004986144402729613
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,5,500,18.92392879788531,0.00048460767138749363,1.0,1.0,71680,1280,0.00048460767138749363
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,6,600,22.662766482913867,0.0001809120294637978,1.0,1.0,71680,1280,0.0001809120294637978
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,7,700,26.436031713936245,0.0001595552869340671,1.0,1.0,71680,1280,0.0001595552869340671
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,8,800,30.202846238957136,0.0007098251770782684,1.0,1.0,71680,1280,0.0007098251770782684
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,9,900,33.981282581953565,0.00016150514046395464,0.9999860491071428,0.99921875,71680,1280,0.00016150514046395464
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,10,1000,37.760865211937926,0.00014326709621985043,1.0,1.0,71680,1280,0.00014326709621985043
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,11,1100,41.53678276388382,8.350194714564297e-05,1.0,1.0,71680,1280,8.350194714564297e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,12,1200,45.305241218869924,0.00016936907195486128,0.9999860491071428,0.99921875,71680,1280,0.00016936907195486128
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,13,1300,49.0766161269712,8.106953880217458e-05,1.0,1.0,71680,1280,8.106953880217458e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,14,1400,52.84266299003502,6.400615509067263e-05,1.0,1.0,71680,1280,6.400615509067263e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,15,1500,56.609146611983306,6.633004314997899e-05,1.0,1.0,71680,1280,6.633004314997899e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,16,1600,60.367192997116945,8.520296292512545e-05,1.0,1.0,71680,1280,8.520296292512545e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,17,1700,64.14524724904913,9.687187765458865e-05,0.9999860491071428,0.99921875,71680,1280,9.687187765458865e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,18,1800,67.90762056391395,0.0002020690028855045,0.9999720982142857,0.9984375,71680,1280,0.0002020690028855045
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,19,1900,71.67316972182016,0.00010291031212545931,1.0,1.0,71680,1280,0.00010291031212545931
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,20,2000,75.42877705486899,0.0001034873234207875,0.9999860491071428,0.99921875,71680,1280,0.0001034873234207875
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,21,2100,79.20798976786318,8.23811104055494e-05,1.0,1.0,71680,1280,8.23811104055494e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,22,2200,82.98723018290184,8.148367840996279e-05,0.9999860491071428,0.99921875,71680,1280,8.148367840996279e-05
in-context-recall V16,in-context-recall,d128,seq,0,.runtime/cdrm-naive/20260907T123830Z/pilot-recall-seq-e50/report.json,SYN,627a8f9141243782c303af81c44fcf979b7b65aeb2e85bd4edf274b1d0ef06e8,12,128,16,127,e54f6a06f14261e92189c200a7f4d5dd654d23e8e3cc42e3e55fb1912ae3a6a0,23,2300,86.76670007388748,0.0002029472030699253,0.9999581473214286,0.99765625,71680,1280,0.0002029472030699253
