attempt,arm,block,tensor,accepted_for_diagnostic_summary,native_relative_l2,native_interval_pass,fp32_relative_l2,fp32_interval_pass
primary-attention-reference,current_fp32,0,output,True,1.6764254833854794e-07,True,1.6764254833854794e-07,True
primary-attention-reference,current_fp32,0,q_gradient,True,3.3016397578920877e-07,True,3.3016397578920877e-07,True
primary-attention-reference,current_fp32,0,k_gradient,True,6.006198793046771e-07,True,6.006198793046771e-07,True
primary-attention-reference,current_fp32,0,v_gradient,True,3.1212559089265676e-07,True,3.1212559089265676e-07,True
primary-attention-reference,current_fp32,1,output,True,1.404744760104037e-07,True,1.404744760104037e-07,True
primary-attention-reference,current_fp32,1,q_gradient,True,2.498371316657521e-07,True,2.498371316657521e-07,True
primary-attention-reference,current_fp32,1,k_gradient,True,2.883939174763435e-07,True,2.883939174763435e-07,True
primary-attention-reference,current_fp32,1,v_gradient,True,3.0313409545606463e-07,True,3.0313409545606463e-07,True
primary-attention-reference,current_fp32,2,output,True,1.5616813535269228e-07,True,1.5616813535269228e-07,True
primary-attention-reference,current_fp32,2,q_gradient,True,2.7912691905856474e-07,True,2.7912691905856474e-07,True
primary-attention-reference,current_fp32,2,k_gradient,True,2.807778926739315e-07,True,2.807778926739315e-07,True
primary-attention-reference,current_fp32,2,v_gradient,True,2.6635682965294604e-07,True,2.6635682965294604e-07,True
primary-attention-reference,current_fp32,3,output,True,2.483546455649899e-07,False,2.483546455649899e-07,False
primary-attention-reference,current_fp32,3,q_gradient,True,6.840313266926566e-07,True,6.840313266926566e-07,True
primary-attention-reference,current_fp32,3,k_gradient,True,2.1460356280674805e-06,True,2.1460356280674805e-06,True
primary-attention-reference,current_fp32,3,v_gradient,True,9.004618342378292e-07,True,9.004618342378292e-07,True
primary-attention-reference,current_fp32,4,output,True,3.268432368099036e-07,False,3.268432368099036e-07,False
primary-attention-reference,current_fp32,4,q_gradient,True,1.0623014618685835e-06,True,1.0623014618685835e-06,True
primary-attention-reference,current_fp32,4,k_gradient,True,1.6080994125518967e-06,True,1.6080994125518967e-06,True
primary-attention-reference,current_fp32,4,v_gradient,True,1.4864679858482883e-06,True,1.4864679858482883e-06,True
primary-attention-reference,current_bf16,0,output,True,0.0015472744727750396,True,1.5750793135486604e-07,True
primary-attention-reference,current_bf16,0,q_gradient,True,0.0016657283807344065,True,2.7101756383251353e-07,True
primary-attention-reference,current_bf16,0,k_gradient,True,0.0016832447481394917,True,4.305030747394703e-07,True
primary-attention-reference,current_bf16,0,v_gradient,True,0.0016289753752227907,True,3.062735883430163e-07,True
primary-attention-reference,current_bf16,1,output,True,0.001662768993270182,True,1.406167315709943e-07,True
primary-attention-reference,current_bf16,1,q_gradient,True,0.001661734571101034,True,2.453933801335082e-07,True
primary-attention-reference,current_bf16,1,k_gradient,True,0.0016548041635619927,True,2.9034666690927487e-07,True
primary-attention-reference,current_bf16,1,v_gradient,True,0.0016491513302564393,True,3.0810073873716837e-07,True
primary-attention-reference,current_bf16,2,output,True,0.0016367433922742924,True,1.5717419761706123e-07,True
primary-attention-reference,current_bf16,2,q_gradient,True,0.001650572075868844,True,2.8055770528351093e-07,True
primary-attention-reference,current_bf16,2,k_gradient,True,0.0016506952257215957,True,2.8205011657530897e-07,True
primary-attention-reference,current_bf16,2,v_gradient,True,0.0016603369287859426,True,2.671795299913045e-07,True
primary-attention-reference,current_bf16,3,output,True,0.0016425936789146176,True,2.292774044189338e-07,False
primary-attention-reference,current_bf16,3,q_gradient,True,0.0016597705723768652,True,6.473474921259024e-07,True
primary-attention-reference,current_bf16,3,k_gradient,True,0.0016473616267644563,True,1.893318757155962e-06,True
primary-attention-reference,current_bf16,3,v_gradient,True,0.0016543881975957019,True,7.854309199801601e-07,True
primary-attention-reference,current_bf16,4,output,True,0.0016555551808345446,False,3.1031399530581025e-07,False
primary-attention-reference,current_bf16,4,q_gradient,True,0.0016423621680224066,True,1.0413850270364668e-06,True
primary-attention-reference,current_bf16,4,k_gradient,True,0.0016513301125347757,True,1.5012532532881732e-06,True
primary-attention-reference,current_bf16,4,v_gradient,True,0.0016611480384238263,True,1.410268404742944e-06,True
