attempt,arm,reference,accepted_for_diagnostic_summary,gradient_relative_l2,gradient_screen_pass,adam_relative_l2,adam_screen_pass
primary-coarse,current_bf16,current_fp32,False,0.04442325926272351,False,0.04632930916191016,False
primary-coarse,bf16_lambda_zero,fp32_lambda_zero,False,0.04398409171748745,False,0.044175153913941514,False
primary-coarse,bf16_bypass,fp32_bypass,False,0.04398409171748745,False,0.04500135202963673,False
primary-coarse,bf16_reduction_off,current_fp32,False,0.04442339389547658,False,0.0463296411091368,False
primary-coarse,bf16_side_fp32_backbone,current_fp32,False,4.8806518665815503e-05,True,0.0006791924388363963,True
primary-coarse-v2,current_bf16,current_fp32,True,0.04442325926272351,False,0.04632930916191016,False
primary-coarse-v2,bf16_lambda_zero,fp32_lambda_zero,True,0.04398409171748745,False,0.044175153913941514,False
primary-coarse-v2,bf16_bypass,fp32_bypass,True,0.04398409171748745,False,0.04500135202963673,False
primary-coarse-v2,bf16_reduction_off,current_fp32,True,0.04442325926272351,False,0.04632930916191016,False
primary-coarse-v2,bf16_side_fp32_backbone,current_fp32,True,4.8806518665815503e-05,True,0.0006791924388363963,True
primary-narrow-v1,current_bf16,current_fp32,True,0.04442325926272351,False,0.04632930916191016,False
primary-narrow-v1,bf16_alibi_fp32,current_fp32,False,0.04442325926272351,False,0.04632930916191016,False
primary-narrow-v1,bf16_attention_fp32,current_fp32,True,0.004055759952637676,True,0.008404525551005395,True
primary-narrow-v1,bf16_block_0_fp32,current_fp32,True,0.006608026133711399,False,0.017707290707411033,False
primary-narrow-v1,bf16_block_1_fp32,current_fp32,True,0.04731445127983135,False,0.04821842358592896,False
primary-narrow-v1,bf16_block_2_fp32,current_fp32,True,0.04219960922765306,False,0.04403282924316155,False
primary-narrow-v1,bf16_block_3_fp32,current_fp32,True,0.04618230882479695,False,0.045062701342986324,False
primary-narrow-v1,bf16_block_4_fp32,current_fp32,True,0.045339360219312994,False,0.044218437353301034,False
primary-alibi-v2,current_bf16,current_fp32,True,0.04442325926272351,False,0.04632930916191016,False
primary-alibi-v2,bf16_alibi_fp32,current_fp32,True,0.0451335488146833,False,0.04771874666794793,False
secondary-selected-v1,current_bf16,current_fp32,True,0.02573699457590539,False,0.02205826827541708,False
secondary-selected-v1,bf16_attention_fp32,current_fp32,True,0.003085119564227214,True,0.00558471220479489,True
secondary-selected-v1,bf16_side_fp32_backbone,current_fp32,True,2.9365893736445454e-05,True,0.0004819744239410433,True
