stage,backend,case,tiny,rank,local_batch,global_batch,setup_peak_allocated_gib,setup_peak_reserved_gib,setup_allocated_gib,setup_reserved_gib,setup_device_used_gib,setup_device_free_gib,steady_peak_allocated_gib,steady_peak_reserved_gib,steady_allocated_gib,steady_reserved_gib,steady_device_used_gib,steady_device_free_gib,parameter_bytes,logical_gradient_bytes,optimizer_state_bytes
combined-zero1-graph-01,zero1,combined,False,0,1,2,23.939407348632812,31.7421875,19.024703979492188,24.974609375,26.8836669921875,52.2950439453125,19.02474069595337,25.65234375,19.024703979492188,25.65234375,27.5614013671875,51.6173095703125,5071519744,5071519744,5070946444
combined-zero1-graph-01,zero1,combined,False,1,1,2,23.934624195098877,31.77734375,19.02381944656372,25.201171875,27.1102294921875,52.0684814453125,19.023856163024902,25.2421875,19.02381944656372,25.2421875,27.1512451171875,52.0274658203125,5071519744,5071519744,5072093328
ddp-combined-b128-01,ddp,combined,False,0,128,256,62.819265842437744,77.55859375,23.811820030212402,73.8359375,75.8133544921875,3.3653564453125,23.811856746673584,73.8359375,23.811820030212402,73.8359375,75.8133544921875,3.3653564453125,5071519744,5071519744,10143039772
ddp-combined-b128-01,ddp,combined,False,1,128,256,62.819265842437744,77.55859375,23.811820030212402,73.8359375,75.8133544921875,3.3653564453125,23.811856746673584,73.8359375,23.811820030212402,73.8359375,75.8133544921875,3.3653564453125,5071519744,5071519744,10143039772
ddp-combined-b64-01,ddp,combined,False,0,64,128,43.64910268783569,74.16796875,23.781121253967285,46.70703125,48.6512451171875,30.5274658203125,23.781157970428467,46.70703125,23.781121253967285,46.70703125,48.6512451171875,30.5274658203125,5071519744,5071519744,10143039772
ddp-combined-b64-01,ddp,combined,False,1,64,128,43.64910268783569,74.16796875,23.781121253967285,46.70703125,48.6512451171875,30.5274658203125,23.781157970428467,46.70703125,23.781121253967285,46.70703125,48.6512451171875,30.5274658203125,5071519744,5071519744,10143039772
ddp-rt-b128-01,ddp,rt,False,0,128,256,50.13235902786255,77.4609375,22.142979621887207,52.4921875,54.3953857421875,24.7833251953125,22.143013954162598,52.4921875,22.142979621887207,52.4921875,54.3953857421875,24.7833251953125,4740612096,4707057664,9414115588
ddp-rt-b128-01,ddp,rt,False,1,128,256,50.13235902786255,77.4609375,22.142979621887207,52.4921875,54.3953857421875,24.7833251953125,22.143013954162598,52.4921875,22.142979621887207,52.4921875,54.3953857421875,24.7833251953125,4740612096,4707057664,9414115588
ddp-rt-b192-01,ddp,rt,False,0,192,384,63.80594253540039,77.56640625,22.1753888130188,66.8125,68.7117919921875,10.4669189453125,22.17542314529419,66.8125,22.1753888130188,66.8125,68.7117919921875,10.4669189453125,4740612096,4707057664,9414115588
ddp-rt-b192-01,ddp,rt,False,1,192,384,63.80594253540039,77.56640625,22.1753888130188,66.8125,68.7117919921875,10.4669189453125,22.17542314529419,66.8125,22.1753888130188,66.8125,68.7117919921875,10.4669189453125,4740612096,4707057664,9414115588
ddp-rt-b64-01,ddp,rt,False,0,64,128,36.46268177032471,58.134765625,22.111546993255615,39.87890625,41.7821044921875,37.3966064453125,22.111581325531006,39.87890625,22.111546993255615,39.87890625,41.7821044921875,37.3966064453125,4740612096,4707057664,9414115588
