stage,status,case,tiny,backend,probe_stage,world_size,local_batch,global_batch,length,bucket_view,aggregate_tokens_per_second,gpu_microseconds_per_input_token,seconds_per_update,rank_throughput_records_agree,matrix_flops_minimum,matrix_flops_maximum,registered_unique_parameters,backbone_parameters,fusion_parameters,nextlat_training_only_parameters,training_architecture_parameters,deployable_inference_parameters,timing_scope,retention_verified,wandb,git_head
combined-zero1-graph-01,passed,combined,False,zero1,integration,2,1,2,512,False,1953.9058296472858,1023.5907839842184,0.5240784813999199,True,21295113306112,22647524687872,1267879936,1176764416,8388608,82726912,1267879936,1185153024,"batch validation/copy + captured actual DDP forward/loss/backward + coordinated health/loss + clipping + local fused Adam + updated-parameter broadcasts + scheduler; excludes fixtures, outer timing barrier, reporting, hashing and validation",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/i1p7u4ux,6921c53eaf933ab2f6133202a0dd1a48dde5ed4d
ddp-combined-b128-01,passed,combined,False,ddp,capacity,2,128,256,512,False,24657.190615348714,81.11224150390561,5.315771859199958,True,2725774503182336,2898883160047616,1267879936,1176764416,8388608,82726912,1267879936,1185153024,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/nmv7nu8r,1a673036b0744f88028ad7618b3c562cb0f7c37b
ddp-combined-b64-01,passed,combined,False,ddp,capacity,2,64,128,512,False,23405.973336346287,85.44827302243706,2.799969010399218,True,1362887251591168,1449441580023808,1267879936,1176764416,8388608,82726912,1267879936,1185153024,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/zt5q993w,6921c53eaf933ab2f6133202a0dd1a48dde5ed4d
ddp-rt-b128-01,passed,rt,False,ddp,capacity,2,128,256,512,False,55767.64547819147,35.86308840637931,2.3503233618004744,True,1273325196148736,1354109236019200,1185153024,1176764416,0,0,1176764416,1176764416,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/o5rhk350,1a673036b0744f88028ad7618b3c562cb0f7c37b
ddp-rt-b192-01,passed,rt,False,ddp,capacity,2,192,384,512,False,59034.61685181847,33.87842772013168,3.330384958599825,True,1909987794223104,2031163854028800,1185153024,1176764416,0,0,1176764416,1176764416,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/aw43q0xt,1a673036b0744f88028ad7618b3c562cb0f7c37b
ddp-rt-b64-01,passed,rt,False,ddp,capacity,2,64,128,512,False,47384.10939764574,42.2082429199222,1.3830797040000107,True,636662598074368,677054618009600,1185153024,1176764416,0,0,1176764416,1176764416,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/ahbhvxmx,cf8f414ae78058ce4a17be5f245c7188f2221c46
single-combined-b128-01,passed,combined,False,single,single_reference,1,128,128,512,False,12361.819703470816,80.89423919677708,5.301484859999983,True,1362887251591168,1449441580023808,1267879936,1176764416,8388608,82726912,1267879936,1185153024,"batch validation/copy + captured forward/loss/backward + finite checks/clipping/Adam/scheduler; excluding fixture construction, reporting, digests; no distributed communication",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/watsz35j,6921c53eaf933ab2f6133202a0dd1a48dde5ed4d
single-rt-b128-01,passed,rt,False,single,single_reference,1,128,128,512,False,28000.26343216411,35.713949707033564,2.3405494080001517,True,636662598074368,677054618009600,1185153024,1176764416,0,0,1176764416,1176764416,"batch validation/copy + captured forward/loss/backward + finite checks/clipping/Adam/scheduler; excluding fixture construction, reporting, digests; no distributed communication",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/eezfn9r8,cf8f414ae78058ce4a17be5f245c7188f2221c46
tiny-capacity-01,passed,combined,True,ddp,capacity,2,2,4,8,False,4551.558676919748,439.4099125079265,0.007030558600126824,True,25865216,26274816,53408,22624,2048,28736,53408,24672,"batch validation/copy + captured DDP forward/loss/backward + global health/loss + clipping/Adam/scheduler; excluding fixture construction, outer timing barrier, reporting and digests",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/wgvh2kza,340fe259f0e4af8f014df825699af2eabcb9a488
tiny-zero1-graph-01,passed,combined,True,zero1,integration,2,2,4,8,False,3964.8803784053807,504.42883747336964,0.008070861399573914,True,25865216,26274816,53408,22624,2048,28736,53408,24672,"batch validation/copy + captured actual DDP forward/loss/backward + coordinated health/loss + clipping + local fused Adam + updated-parameter broadcasts + scheduler; excludes fixtures, outer timing barrier, reporting, hashing and validation",True,https://wandb.ai/taylorbollman/pretrained-fbt-rt-nextlat/runs/jeubp3ph,340fe259f0e4af8f014df825699af2eabcb9a488
