role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
dev,5000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.00031317287477705235
dev,5000,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0007559137987708908
dev,5000,3,102400,102400,102400,307200,307200,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0008315313955938563
dev,5000,4,102400,102400,102400,409600,409600,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0009570348063301726
dev,5000,5,102400,102399,102399,511999,512000,0.999990234375,0.9999446805183295,0.9999982761253133,0.999990234375,0.9999446805183295,0.9999982761253133,0.999998046875,0.0013045120555926727
dev,5000,6,102400,102396,102396,614395,614400,0.9999609375,0.9998995558365923,0.9999848092550684,0.9999609375,0.9998995558365923,0.9999848092550684,0.9999918619791667,0.001945926583182862
dev,5000,7,102400,102382,102385,716780,716800,0.99982421875,0.9997221355543948,0.9998888022946828,0.999853515625,0.9997583066269857,0.9999112227740738,0.9999720982142857,0.0029755026599487078
dev,5000,8,102400,102330,102340,819120,819200,0.99931640625,0.9991365021061623,0.9994588488418922,0.9994140625,0.999245935024263,0.9995447210970653,0.99990234375,0.004881186848855634
dev,5000,9,102400,102205,102234,921354,921600,0.998095703125,0.9978093454375543,0.9983446908445799,0.99837890625,0.9981131018141284,0.9986073194704995,0.9997330729166667,0.008157387151498972
dev,5000,10,102400,101973,102048,1023402,1024000,0.995830078125,0.9954163588006715,0.9962065974615146,0.9965625,0.9961849099982476,0.9969028350634908,0.999416015625,0.013679013456213704
dev,5000,11,102400,101518,101670,1125072,1126400,0.99138671875,0.9908020121884075,0.9919345586898286,0.99287109375,0.9923369877429863,0.9933682217690091,0.9988210227272727,0.023551220360980937
dev,5000,12,102400,100619,100932,1226004,1228800,0.982607421875,0.9817884277475357,0.9833902080534014,0.9856640625,0.9849175554375516,0.9863741322868502,0.997724609375,0.044260858360221214
