arm,update,role,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
input,1000,dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.005676345712663533
input,1000,dev,2,102400,102333,102333,204733,204800,0.999345703125,0.9991692393347998,0.9994847031652371,0.999345703125,0.9991692393347998,0.9994847031652371,0.9996728515625,0.07083493337750042
input,1000,dev,3,102400,61049,61065,265798,307200,0.596181640625,0.5931728379171731,0.599183227240022,0.596337890625,0.5933292698012439,0.5993392836331891,0.8652278645833333,1.2850486364367315
input,1000,dev,4,102400,17444,23224,289022,409600,0.1703515625,0.16806134000090361,0.17266651709664121,0.226796875,0.2242422925474378,0.22937195470226343,0.7056201171875,2.5829870229363268
input,1000,dev,5,102400,3459,10128,299150,512000,0.033779296875,0.03269014278136028,0.03490342949301726,0.09890625,0.09709276853643847,0.10074982379412087,0.58427734375,3.386472367942133
input,1000,dev,6,102400,468,4777,303927,614400,0.0045703125,0.004175367258353027,0.005002427689882673,0.046650390625,0.045375638502094175,0.0479591556097474,0.4946728515625,3.846508765445542
input,1000,dev,7,102400,46,2522,306449,716800,0.00044921875,0.0003368283364539456,0.0005990882996346968,0.02462890625,0.02369728442966804,0.025596193108970638,0.42752371651785714,4.050688691435498
input,1000,dev,8,102400,2,1869,308318,819200,1.953125e-05,5.356189565375578e-06,7.121768411930826e-05,0.018251953125,0.017449956344743903,0.019090093379126934,0.37636474609375,4.095058437427506
input,1000,dev,9,102400,0,1646,309964,921600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01607421875,0.01532190054444195,0.016862843815427006,0.33633246527777777,4.099126248781103
input,1000,dev,10,102400,0,1676,311640,1024000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0163671875,0.01560798851048257,0.017162671369207273,0.3043359375,4.097624726716894
input,1000,dev,11,102400,0,1777,313417,1126400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017353515625,0.016571614402483354,0.01817162772727011,0.27824662642045456,4.0967877632007
input,1000,dev,12,102400,0,1728,315145,1228800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016875,0.016104025646818412,0.01768222113389429,0.25646565755208334,4.096462055044249
input,1000,ood_dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.005684838629063052
input,1000,ood_dev,2,102400,102344,102344,204744,204800,0.999453125,0.9992899777075444,0.9995788004830934,0.999453125,0.9992899777075444,0.9995788004830934,0.9997265625,0.07058815874143931
input,1000,ood_dev,3,102400,61028,61037,265781,307200,0.5959765625,0.5929675215495592,0.5989784027437614,0.596064453125,0.5930555142117939,0.599066184737473,0.8651725260416666,1.2841694540569641
input,1000,ood_dev,4,102400,17494,23130,288911,409600,0.17083984375,0.16854698414988303,0.17315739881402994,0.22587890625,0.22332803493847142,0.2284503436824577,0.70534912109375,2.5875700098940935
input,1000,ood_dev,5,102400,3391,9833,298744,512000,0.033115234375,0.032036657347360914,0.03422883974875594,0.096025390625,0.09423596362043755,0.0978451260985498,0.583484375,3.394331721200597
input,1000,ood_dev,6,102400,431,4841,303585,614400,0.004208984375,0.0038306291303737707,0.004624536676749507,0.047275390625,0.04599241870745445,0.04859232851333832,0.4941162109375,3.847987138389144
input,1000,ood_dev,7,102400,37,2466,306051,716800,0.000361328125,0.00026216916150420544,0.0004979728186381727,0.02408203125,0.023160763025683012,0.025039005542623352,0.42696847098214286,4.052580810235813
input,1000,ood_dev,8,102400,2,1769,307820,819200,1.953125e-05,5.356189565375578e-06,7.121768411930826e-05,0.017275390625,0.016495262462912757,0.018091735528221815,0.3757568359375,4.095469537073513
input,1000,ood_dev,9,102400,1,1738,309558,921600,9.765625e-06,1.7238746867777096e-06,5.5319481670543434e-05,0.01697265625,0.016199438828229357,0.017782113125756963,0.3358919270833333,4.098175285721664
input,1000,ood_dev,10,102400,0,1690,311248,1024000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01650390625,0.015741518331602318,0.017302568790670596,0.303953125,4.097523148001637
input,1000,ood_dev,11,102400,0,1747,312995,1126400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017060546875,0.016285316481675992,0.017872010128256594,0.27787198153409093,4.0965021977224385
input,1000,ood_dev,12,102400,0,1720,314715,1228800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016796875,0.016027700015071877,0.017602302627021917,0.25611572265625,4.096503600135911
input,1000,ood_dev,13,102400,0,1684,316399,1331200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0164453125,0.015684289562204114,0.017242614456104623,0.23767953725961538,4.096430578418076
input,1000,ood_dev,14,102400,0,1808,318207,1433600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01765625,0.016867517529074724,0.018481170637826987,0.22196358816964284,4.0961725060292515
input,1000,ood_dev,15,102400,0,1679,319886,1536000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016396484375,0.01563660087091516,0.017192650560756764,0.20825911458333332,4.096407966096885
input,1000,ood_dev,16,102400,0,1659,321545,1638400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016201171875,0.015445863993727361,0.016992777091397307,0.1962554931640625,4.096490908686537
input,1000,ood_dev,17,102400,0,1692,323237,1740800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0165234375,0.015760595153160015,0.01732255300376763,0.18568301930147058,4.09624642791925
input,1000,ood_dev,18,102400,0,1759,324996,1843200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017177734375,0.016399828478305734,0.017991864339555207,0.17632161458333334,4.096045627761632
input,1000,ood_dev,19,102400,0,1702,326698,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01662109375,0.015855983477047735,0.017422469853153533,0.1679163240131579,4.09642078893492
input,1000,ood_dev,20,102400,0,1678,328376,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01638671875,0.015627063346117524,0.017182657568227042,0.16033984375,4.096382168824785
input,1000,ood_dev,21,102400,0,1664,330040,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01625,0.015493545514017064,0.01704274815774442,0.15347842261904762,4.096462815159466
input,1000,ood_dev,22,102400,0,1720,331760,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016796875,0.016027700015071877,0.017602302627021917,0.147265625,4.0962925213458945
input,1000,ood_dev,23,102400,0,1694,333454,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01654296875,0.015779672256443042,0.017342536935139326,0.14158203125,4.096077498537488
input,1000,ood_dev,24,102400,0,1698,335152,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01658203125,0.01581782730622608,0.017382503954665736,0.13637369791666668,4.096312560059596
input,1000,ood_dev,25,102400,0,1699,336851,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016591796875,0.015827366243986105,0.01739249553423307,0.131582421875,4.095969367737416
input,1000,ood_dev,26,102400,0,1689,338540,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016494140625,0.01573198002662403,0.017292576578321527,0.12715594951923076,4.096524383544456
input,1000,ood_dev,27,102400,0,1679,340219,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016396484375,0.01563660087091516,0.017192650560756764,0.12305374710648148,4.0965162779274396
input,1000,ood_dev,28,102400,0,1757,341976,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017158203125,0.016380742477780357,0.01797188930542586,0.11927176339285714,4.095791455856524
input,1000,ood_dev,29,102400,0,1655,343631,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016162109375,0.015407720082225901,0.016952798933589322,0.11571625808189655,4.096180784709286
input,1000,ood_dev,30,102400,0,1746,345377,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01705078125,0.016275774250670384,0.017862021841934844,0.11242740885416666,4.095992850344628
input,1000,ood_dev,31,102400,0,1779,347156,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017373046875,0.0165907030437091,0.018191600120699095,0.10936113911290322,4.096178258522413
input,1000,ood_dev,32,102400,0,1702,348858,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01662109375,0.015855983477047735,0.017422469853153533,0.1064630126953125,4.095961926183663
input,1000,ood_dev,33,102400,0,1758,350616,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01716796875,0.016390285444758016,0.01798187685577556,0.10375710227272728,4.095891327697318
input,1000,ood_dev,34,102400,0,1700,352316,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0166015625,0.015836905251750164,0.017402487043796374,0.10119370404411765,4.096053426775615
input,1000,ood_dev,35,102400,0,1648,353964,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01609375,0.01534097104105305,0.01688283435347063,0.09876227678571428,4.096364162305836
input,1000,ood_dev,36,102400,0,1655,355619,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016162109375,0.015407720082225901,0.016952798933589322,0.09646782769097222,4.096476240684279
input,5000,dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,5.7044797331720076e-05
input,5000,dev,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.00011002102700757632
input,5000,dev,3,102400,102400,102400,307200,307200,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.00019515367019353746
input,5000,dev,4,102400,102400,102400,409600,409600,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.00039272956057807563
