arm,update,role,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce,injection_coefficient
quadratic_input,500,dev,1,4096,4096,4096,4096,4096,1.0,0.9990630225926348,0.9999999999999999,1.0,0.9990630225926348,0.9999999999999999,1.0,0.002207744067135309,5e-06
quadratic_input,500,dev,2,4096,4096,4096,8192,8192,1.0,0.9990630225926348,0.9999999999999999,1.0,0.9990630225926348,0.9999999999999999,1.0,0.014043385271847342,5e-06
quadratic_input,500,dev,3,4096,224,224,8416,12288,0.0546875,0.048132459168260984,0.062077036335173634,0.0546875,0.048132459168260984,0.062077036335173634,0.6848958333333334,3.939170243054434,5e-06
quadratic_input,500,dev,4,4096,3,64,8480,16384,0.000732421875,0.0002491200948151938,0.0021513285370509242,0.015625,0.012255565007829483,0.01990213185555554,0.517578125,4.095165769343112,5e-06
quadratic_input,500,dev,5,4096,1,71,8551,20480,0.000244140625,4.309811523941186e-05,0.0013817030336260863,0.017333984375,0.01376571558724534,0.02180674746664186,0.417529296875,4.099318174121436,5e-06
quadratic_input,500,dev,6,4096,0,69,8620,24576,0.0,0.0,0.0009369774073651883,0.016845703125,0.013333172427690648,0.02126364314319593,0.3507486979166667,4.099302356131375,5e-06
quadratic_input,500,dev,7,4096,0,78,8698,28672,0.0,0.0,0.0009369774073651883,0.01904296875,0.01528574904596704,0.023701480198422328,0.30336216517857145,4.0964764698874205,5e-06
quadratic_input,500,dev,8,4096,0,48,8746,32768,0.0,0.0,0.0009369774073651883,0.01171875,0.00885047381719605,0.015502043182184016,0.26690673828125,4.099405722052325,5e-06
quadratic_input,500,dev,9,4096,0,69,8815,36864,0.0,0.0,0.0009369774073651883,0.016845703125,0.013333172427690648,0.02126364314319593,0.23912217881944445,4.097714311734308,5e-06
quadratic_input,500,dev,10,4096,0,73,8888,40960,0.0,0.0,0.0009369774073651883,0.017822265625,0.014199063362519719,0.022349047174368093,0.2169921875,4.09644111210946,5e-06
quadratic_input,500,dev,11,4096,0,64,8952,45056,0.0,0.0,0.0009369774073651883,0.015625,0.012255565007829483,0.01990213185555554,0.19868607954545456,4.097077608574182,5e-06
quadratic_input,500,dev,12,4096,0,73,9025,49152,0.0,0.0,0.0009369774073651883,0.017822265625,0.014199063362519719,0.022349047174368093,0.18361409505208334,4.0965498616569676,5e-06
quadratic_input,500,ood_dev,1,4096,4096,4096,4096,4096,1.0,0.9990630225926348,0.9999999999999999,1.0,0.9990630225926348,0.9999999999999999,1.0,0.0021895360716825962,5e-06
quadratic_input,500,ood_dev,2,4096,4095,4095,8191,8192,0.999755859375,0.9986182969663738,0.9999569018847606,0.999755859375,0.9986182969663738,0.9999569018847606,0.9998779296875,0.01445048415070005,5e-06
quadratic_input,500,ood_dev,3,4096,231,231,8422,12288,0.056396484375,0.04973859724567345,0.06388566444826334,0.056396484375,0.04973859724567345,0.06388566444826334,0.6853841145833334,3.961427196860086,5e-06
