arm,update,role,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
rt,1000,dev,1,4096,4096,4096,4096,4096,1.0,0.9990630225926348,0.9999999999999999,1.0,0.9990630225926348,0.9999999999999999,1.0,0.013030812329475339
rt,1000,dev,2,4096,4096,4096,8192,8192,1.0,0.9990630225926348,0.9999999999999999,1.0,0.9990630225926348,0.9999999999999999,1.0,0.20207047302517367
rt,1000,dev,3,4096,2449,2449,10641,12288,0.597900390625,0.5827995856150534,0.6128177347265709,0.597900390625,0.5827995856150534,0.6128177347265709,0.865966796875,1.3388852250927812
rt,1000,dev,4,4096,922,1256,11897,16384,0.22509765625,0.21256843962651184,0.2381420274441391,0.306640625,0.2927063597670547,0.3209372369646998,0.72613525390625,2.255522212028154
rt,1000,dev,5,4096,219,585,12482,20480,0.053466796875,0.04698636991961872,0.06078400687631435,0.142822265625,0.13244149626819646,0.15387236991685005,0.60947265625,3.068792952100921
rt,1000,dev,6,4096,44,320,12802,24576,0.0107421875,0.008012003642312424,0.014389218391066402,0.078125,0.07029600890800333,0.08674456577946105,0.5209147135416666,3.556996032144525
rt,1000,dev,7,4096,4,157,12959,28672,0.0009765625,0.000379829567061715,0.0025084428063047127,0.038330078125,0.03286986569200936,0.044655439130904494,0.4519740513392857,3.9303765154618304
rt,1000,dev,8,4096,0,91,13050,32768,0.0,0.0,0.0009369774073651883,0.022216796875,0.018130754347330184,0.02719818353656321,0.39825439453125,4.071138826373499
rt,1000,dev,9,4096,0,80,13130,36864,0.0,0.0,0.0009369774073651883,0.01953125,0.015721675338006252,0.02424120138938373,0.3561740451388889,4.097189243184403
rt,1000,dev,10,4096,0,67,13197,40960,0.0,0.0,0.0009369774073651883,0.016357421875,0.012901468019013623,0.020719700068872332,0.3221923828125,4.099777450901456
rt,1000,dev,11,4096,0,74,13271,45056,0.0,0.0,0.0009369774073651883,0.01806640625,0.014416028944668636,0.02261990533371949,0.29454456676136365,4.098593151255045
rt,1000,dev,12,4096,0,67,13338,49152,0.0,0.0,0.0009369774073651883,0.016357421875,0.012901468019013623,0.020719700068872332,0.2713623046875,4.099140235746745
rt,1000,ood_dev,1,4096,4096,4096,4096,4096,1.0,0.9990630225926348,0.9999999999999999,1.0,0.9990630225926348,0.9999999999999999,1.0,0.012968080027121687
rt,1000,ood_dev,2,4096,4095,4095,8191,8192,0.999755859375,0.9986182969663738,0.9999569018847606,0.999755859375,0.9986182969663738,0.9999569018847606,0.9998779296875,0.19977674394317546
rt,1000,ood_dev,3,4096,2416,2417,10608,12288,0.58984375,0.5747033985714631,0.6048157383006509,0.590087890625,0.5749486761091386,0.6050582845044757,0.86328125,1.353955048669377
