arm,first_update,injection_coefficient,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
injection,1,0.01,0.9871561676263809,0.03353713556192815,0.1625365950167179,0.999269649386406,0.1762794442474842,3.8258151769638062,1.0098558962345123,4.367021083831787,3.792278034687042,0.2704981118440628,0.09784912347793578,16.61848862000079,100,100,0.03353713556192815
injection,101,0.01,0.9495724141597748,0.03747130624949932,0.2937318943440914,0.9989560097455978,0.36278608441352844,3.630888454914093,0.9958257675170898,4.358864903450012,3.5934171509742736,0.41947031021118164,0.13905924946069717,32.311207335009385,200,100,0.03747130624949932
injection,201,0.01,0.9430289715528488,0.04562706656754017,0.30833426862955093,0.9986360818147659,0.4603843688964844,3.4588496017456056,0.9766012132167816,4.241171598434448,3.4132225370407103,0.5000058114528656,0.1827970427274704,47.84803207301593,300,100,0.04562706656754017
injection,301,0.01,0.9480668902397156,0.037384589426219465,0.28631001710891724,0.9982373714447021,0.4882488548755646,3.4437639141082763,0.9714497774839401,4.163029193878174,3.406379339694977,0.4351744204759598,0.18347656697034836,63.13502782600881,400,100,0.037384589426219465
injection,401,0.01,0.9473181068897247,0.03609907153993845,0.28309566527605057,0.9979228973388672,0.5266388058662415,3.440855257511139,0.9627272635698318,4.131132483482361,3.4047561836242677,0.4107050225138664,0.1834505258500576,78.46555092001108,500,100,0.03609907153993845
injection,501,0.01,0.943994477391243,0.03670059073716402,0.28703926503658295,0.997709646821022,0.5309863686561584,3.4395899772644043,0.9658584445714951,4.120427966117859,3.4028893995285032,0.39900822937488556,0.1839445036649704,93.91915684101696,600,100,0.03670059073716402
injection,601,0.01,0.9262005239725113,0.04421494860202074,0.3261704817414284,0.9976122081279755,0.567822128534317,3.41120240688324,0.953035831451416,4.12688672542572,3.366987457275391,0.44426486641168594,0.1885904997587204,109.2675544820213,700,100,0.04421494860202074
injection,701,0.01,0.537091325968504,0.21827211529016494,0.7530750632286072,0.9981490969657898,0.8509919196367264,2.6357403910160064,0.646173320710659,4.173383593559265,2.4174682688713074,1.6463782787322998,0.33356446236371995,124.47374524302177,800,100,0.21827211529016494
injection,801,0.01,0.12915924564003944,0.4271084761619568,1.0071971416473389,1.0016649216413498,0.9903187155723572,0.9327865296602249,0.31517986953258514,4.1952965259552,0.5056780524551868,3.501686155796051,0.8406632697582245,139.7710376720188,900,100,0.4271084761619568
injection,901,0.01,0.15612679719924927,0.42383613288402555,0.9939375966787338,1.0057836771011353,0.992076113820076,0.5452805364131927,0.28641005605459213,4.062434434890747,0.12144440226256847,3.8727416396141052,0.9622208881378174,154.90738820701154,1000,100,0.42383613288402555
injection,1001,0.01,0.20220977067947388,0.41551870077848435,0.9786862134933472,1.0077322125434875,0.9931640625,0.4738294783234596,0.2666581720113754,3.9172847867012024,0.05831077760085464,3.8305371403694153,0.9817537653446198,170.24502025001675,1100,100,0.41551870077848435
injection,1101,0.01,0.27716895565390587,0.4024541747570038,0.9576639831066132,1.0069937705993652,0.9902660846710205,0.4372827836871147,0.2748388722538948,3.689545512199402,0.03482860853895545,3.6325692534446716,0.9893554878234864,185.60333688201172,1200,100,0.4024541747570038
injection,1201,0.01,0.37645628303289413,0.3805957496166229,0.9265512228012085,1.0033117830753326,0.9847202599048615,0.40735107511281965,0.3020207807421684,3.3674226999282837,0.02675532571040094,3.323710322380066,0.991820495724678,201.09248987601313,1300,100,0.3805957496166229
injection,1301,0.01,0.4626474156975746,0.35383869379758837,0.8909614235162735,0.9976302981376648,0.9772641658782959,0.37578637540340426,0.3549172580242157,2.980507969856262,0.021947680916637183,2.943486750125885,0.993338235616684,216.92981055700693,1400,100,0.35383869379758837
injection,1401,0.01,0.5251128971576691,0.32685733497142794,0.8567448854446411,0.9911826848983765,0.9705096781253815,0.345148364007473,0.4127091020345688,2.6244837641716003,0.018291029259562493,2.5913211703300476,0.9945369672775268,232.67335562600056,1500,100,0.32685733497142794
