arm,update,role,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce,injection_coefficient
value_linear,500,dev,1,4096,4096,4096,4096,4096,1.0,0.9990630225926348,0.9999999999999999,1.0,0.9990630225926348,0.9999999999999999,1.0,0.0025193762102446726,0.00025
value_linear,500,dev,2,4096,4096,4096,8192,8192,1.0,0.9990630225926348,0.9999999999999999,1.0,0.9990630225926348,0.9999999999999999,1.0,0.011966025112258194,0.00025
value_linear,500,dev,3,4096,226,226,8418,12288,0.05517578125,0.04859116651805456,0.06259397646838068,0.05517578125,0.04859116651805456,0.06259397646838068,0.68505859375,3.940673214283123,0.00025
value_linear,500,dev,4,4096,6,81,8499,16384,0.00146484375,0.0006715185421635897,0.0031924013142034585,0.019775390625,0.015939893688042484,0.02451080678084781,0.51873779296875,4.093548241514554,0.00025
value_linear,500,dev,5,4096,0,63,8562,20480,0.0,0.0,0.0009369774073651883,0.015380859375,0.012040724876904885,0.019629148244979834,0.41806640625,4.099449322966393,0.00025
value_linear,500,dev,6,4096,0,66,8628,24576,0.0,0.0,0.0009369774073651883,0.01611328125,0.01268594169611479,0.020447402650270854,0.35107421875,4.097916327242274,0.00025
value_linear,500,dev,7,4096,0,78,8706,28672,0.0,0.0,0.0009369774073651883,0.01904296875,0.01528574904596704,0.023701480198422328,0.3036411830357143,4.095379782316741,0.00025
value_linear,500,dev,8,4096,0,50,8756,32768,0.0,0.0,0.0009369774073651883,0.01220703125,0.009271887142588631,0.016056277339792056,0.2672119140625,4.098611292953137,0.00025
value_linear,500,dev,9,4096,0,70,8826,36864,0.0,0.0,0.0009369774073651883,0.01708984375,0.0135493413532538,0.021535297959133087,0.23942057291666666,4.097058598359581,0.00025
value_linear,500,dev,10,4096,0,72,8898,40960,0.0,0.0,0.0009369774073651883,0.017578125,0.013982290939508705,0.022077995855878798,0.217236328125,4.097500569070689,0.00025
value_linear,500,dev,11,4096,0,65,8963,45056,0.0,0.0,0.0009369774073651883,0.015869140625,0.012470639018872916,0.020174881586012418,0.19893022017045456,4.0963845163350925,0.00025
