arm,role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
seq,dev,10000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.017968715945939948
seq,dev,10000,2,102400,100640,100640,203040,204800,0.9828125,0.9819981482431794,0.9835906284216323,0.9828125,0.9819981482431794,0.9835906284216323,0.99140625,0.08150033060993418
seq,dev,10000,3,102400,100257,100914,303954,307200,0.979072265625,0.978177395068133,0.979931193460299,0.98548828125,0.9847373976427334,0.9862027407697758,0.98943359375,0.05554506380637538
seq,dev,10000,4,102400,93908,94307,398261,409600,0.9170703125,0.9153655297994435,0.9187438042175625,0.920966796875,0.9192985238272916,0.9226034866033322,0.97231689453125,0.27331282288329495
seq,dev,10000,5,102400,63327,66897,465158,512000,0.618427734375,0.615448042729984,0.6213985408989433,0.653291015625,0.6503703448244923,0.65620018566312,0.90851171875,1.1400266366924003
seq,dev,10000,6,102400,8825,10897,476055,614400,0.086181640625,0.08447828634931419,0.08791604190369155,0.106416015625,0.10454203032048291,0.10831952983481834,0.7748291015625,3.5001965042348435
seq,dev,10000,7,102400,894,3238,479293,716800,0.00873046875,0.008178823086830081,0.009318972242862126,0.03162109375,0.03056675125872842,0.032710576686301965,0.6686565290178571,3.997670745271307
seq,dev,10000,8,102400,86,1966,481259,819200,0.00083984375,0.0006801615834049997,0.0010369757457781507,0.01919921875,0.018376591583629278,0.02005791832099574,0.587474365234375,4.081374532982968
seq,dev,10000,9,102400,6,1757,483016,921600,5.859375e-05,2.6854309065424834e-05,0.00012784163392870978,0.017158203125,0.016380742477780357,0.01797188930542586,0.5241059027777778,4.094635151157272
seq,dev,10000,10,102400,1,1702,484718,1024000,9.765625e-06,1.7238746867777096e-06,5.5319481670543434e-05,0.01662109375,0.015855983477047735,0.017422469853153533,0.473357421875,4.09613347253995
seq,dev,10000,11,102400,0,1621,486339,1126400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.015830078125,0.01508354426487691,0.016612937161807978,0.43176402698863636,4.0966854426311325
