arm,update,role,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
rt_window2_first_ce,1000,dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.026058909556013532
rt_window2_first_ce,1000,dev,2,102400,102305,102305,204705,204800,0.999072265625,0.998866140266089,0.9992409477487816,0.999072265625,0.998866140266089,0.9992409477487816,0.9995361328125,0.4266148267975404
rt_window2_first_ce,1000,dev,3,102400,77476,77530,282235,307200,0.7566015625,0.7539635733793044,0.7592202999144777,0.75712890625,0.7544928312612766,0.7597456899681831,0.9187337239583333,1.320240792925615
rt_window2_first_ce,1000,dev,4,102400,47305,57980,340215,409600,0.461962890625,0.4589108051987261,0.46501782981119616,0.5662109375,0.5631730355095137,0.5692438719700053,0.83060302734375,1.615962372555514
rt_window2_first_ce,1000,dev,5,102400,27132,46407,386622,512000,0.2649609375,0.2622668019872407,0.2676727069777939,0.453193359375,0.4501461764912987,0.4562440539586519,0.75512109375,1.7926123491639736
rt_window2_first_ce,1000,dev,6,102400,15212,37476,424098,614400,0.1485546875,0.1463895622383268,0.15074618018454447,0.3659765625,0.3630312648890037,0.3689319153102706,0.690263671875,1.9755756684413064
rt_window2_first_ce,1000,dev,7,102400,8016,29416,453514,716800,0.07828125,0.07665179626032978,0.07994234347483953,0.287265625,0.2845022165185543,0.2900449940221768,0.6326925223214286,2.2168279645516304
rt_window2_first_ce,1000,dev,8,102400,3581,22324,475838,819200,0.034970703125,0.033862857357976436,0.036113438030339354,0.2180078125,0.21548949463825995,0.22054728701681486,0.58085693359375,2.4864742542715974
rt_window2_first_ce,1000,dev,9,102400,1463,17463,493301,921600,0.014287109375,0.01357826393073025,0.015032395758231332,0.170537109375,0.16824588396946577,0.1728530529572989,0.5352658420138889,2.7597711603570496
rt_window2_first_ce,1000,dev,10,102400,499,13154,506455,1024000,0.004873046875,0.004464705980840788,0.005318535004543155,0.12845703125,0.12642158482760177,0.13052035293555705,0.4945849609375,3.0388041964743753
rt_window2_first_ce,1000,dev,11,102400,119,9230,515685,1126400,0.001162109375,0.0009713143707206437,0.0013903300302654756,0.09013671875,0.08839802924820474,0.09190615852238289,0.45781693892045455,3.391541269934969
rt_window2_first_ce,1000,dev,12,102400,20,5170,520855,1228800,0.0001953125,0.00012644410679300263,0.0003016790787842098,0.05048828125,0.04916401717417949,0.05184627024731562,0.42387288411458335,3.7848219103040175
rt_window2_first_ce,1000,ood_dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.02607483740518546
rt_window2_first_ce,1000,ood_dev,2,102400,102326,102326,204726,204800,0.99927734375,0.9990929639511458,0.9994242649275994,0.99927734375,0.9990929639511458,0.9994242649275994,0.999638671875,0.42636945558950173
rt_window2_first_ce,1000,ood_dev,3,102400,77230,77280,282006,307200,0.75419921875,0.7515525776973814,0.7568267883338696,0.7546875,0.7520426084704555,0.7573132834271636,0.91798828125,1.3243887161833845
rt_window2_first_ce,1000,ood_dev,4,102400,46886,57725,339731,409600,0.45787109375,0.4548211773134809,0.4609241709362765,0.563720703125,0.560680895943748,0.5667557296172935,0.82942138671875,1.6171099988781499
rt_window2_first_ce,1000,ood_dev,5,102400,26826,46219,385950,512000,0.26197265625,0.2592884600185501,0.2646747106443115,0.451357421875,0.44831138604437115,0.4544071071480352,0.75380859375,1.793061334717786
rt_window2_first_ce,1000,ood_dev,6,102400,14922,37364,423314,614400,0.14572265625,0.14357491437105396,0.14789697802688212,0.3648828125,0.3619394278886482,0.36783633436996155,0.6889876302083333,1.9767827897216192
rt_window2_first_ce,1000,ood_dev,7,102400,7812,29544,452858,716800,0.0762890625,0.07467899693876374,0.07793091726162359,0.288515625,0.28574858325698477,0.29129853350164864,0.63177734375,2.2144220827659593
rt_window2_first_ce,1000,ood_dev,8,102400,3575,22555,475413,819200,0.034912109375,0.03380517453295371,0.03605393775139789,0.220263671875,0.21773588866477803,0.22281244249291757,0.580338134765625,2.489375977581367
rt_window2_first_ce,1000,ood_dev,9,102400,1490,17339,492752,921600,0.01455078125,0.013835350004825175,0.015302633651975203,0.169326171875,0.1670415096789851,0.17163564309918664,0.5346701388888889,2.762984430685756
rt_window2_first_ce,1000,ood_dev,10,102400,517,13165,505917,1024000,0.005048828125,0.004632901899115789,0.005501888398160683,0.128564453125,0.1265282723718885,0.13062850108187138,0.4940595703125,3.0375438425102037
rt_window2_first_ce,1000,ood_dev,11,102400,138,9321,515238,1126400,0.00134765625,0.001140893289333327,0.0015918309408726832,0.091025390625,0.08927890411128016,0.09280256073609748,0.45742009943181816,3.3870411960885396
rt_window2_first_ce,1000,ood_dev,12,102400,15,5333,520571,1228800,0.000146484375,8.877722592615812e-05,0.00024169337301424077,0.052080078125,0.05073592291956981,0.05345783882628541,0.42364176432291667,3.7827934709680267
rt_window2_first_ce,1000,ood_dev,13,102400,1,2767,523338,1331200,9.765625e-06,1.7238746867777096e-06,5.5319481670543434e-05,0.027021484375,0.026045961315586084,0.02803249296825646,0.3931325120192308,4.025757932352135
rt_window2_first_ce,1000,ood_dev,14,102400,0,1865,525203,1433600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.018212890625,0.017411756579897356,0.019050171074664026,0.3663525390625,4.104047793636564
rt_window2_first_ce,1000,ood_dev,15,102400,0,1718,526921,1536000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01677734375,0.016008619293442074,0.017582322313996996,0.34304752604166666,4.120499515964184
rt_window2_first_ce,1000,ood_dev,16,102400,0,1732,528653,1638400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0169140625,0.016142190103274327,0.01772217874674782,0.3226641845703125,4.12409644624684
rt_window2_first_ce,1000,ood_dev,17,102400,0,1750,530403,1740800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01708984375,0.01631394357759699,0.017901974584317686,0.30468922334558823,4.129925120796543
rt_window2_first_ce,1000,ood_dev,18,102400,0,1721,532124,1843200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016806640625,0.01603724047903842,0.017612292680382738,0.2886957465277778,4.137456494558137
rt_window2_first_ce,1000,ood_dev,19,102400,0,1673,533797,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016337890625,0.01557937679287261,0.017132691534835136,0.27436112253289474,4.142072264300659
rt_window2_first_ce,1000,ood_dev,20,102400,0,1735,535532,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016943359375,0.016170814160317883,0.017752146241686355,0.261490234375,4.148004493247718
rt_window2_first_ce,1000,ood_dev,21,102400,0,1752,537284,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017109375,0.0163330286433993,0.0179219505531701,0.2498530505952381,4.156192546337843
rt_window2_first_ce,1000,ood_dev,22,102400,0,1727,539011,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016865234375,0.016094484703258225,0.01767223156012711,0.2392626953125,4.161963171518874
rt_window2_first_ce,1000,ood_dev,23,102400,0,1732,540743,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0169140625,0.016142190103274327,0.01772217874674782,0.22959536345108697,4.166463205770124
rt_window2_first_ce,1000,ood_dev,24,102400,0,1693,542436,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016533203125,0.015770133669616524,0.01733254500463848,0.2207177734375,4.173001439122017
rt_window2_first_ce,1000,ood_dev,25,102400,0,1712,544148,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01671875,0.01595137878323341,0.017522379720241482,0.2125578125,4.1762127191782925
rt_window2_first_ce,1000,ood_dev,26,102400,0,1666,545814,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01626953125,0.015512618627879053,0.017062736078537158,0.20500826322115384,4.182725679038558
rt_window2_first_ce,1000,ood_dev,27,102400,0,1776,547590,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01734375,0.01656207018012992,0.018161641432296188,0.19805772569444444,4.185474884433206
rt_window2_first_ce,1000,ood_dev,28,102400,0,1558,549148,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01521484375,0.014483096886765455,0.01598296194829558,0.19152762276785715,4.1915635458217
rt_window2_first_ce,1000,ood_dev,29,102400,0,1694,550842,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01654296875,0.015779672256443042,0.017342536935139326,0.1854936691810345,4.19184520815732
rt_window2_first_ce,1000,ood_dev,30,102400,0,1748,552590,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0170703125,0.01629485877987003,0.017881998347389922,0.17987955729166666,4.195227799378335
rt_window2_first_ce,1000,ood_dev,31,102400,0,1658,554248,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01619140625,0.01543632790693115,0.016982782660866155,0.1745992943548387,4.196874370891601
rt_window2_first_ce,1000,ood_dev,32,102400,0,1748,555996,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0170703125,0.01629485877987003,0.017881998347389922,0.169676513671875,4.198790776850656
rt_window2_first_ce,1000,ood_dev,33,102400,0,1691,557687,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016513671875,0.01575105670713481,0.01731256093246547,0.16503521543560606,4.2017434970289465
rt_window2_first_ce,1000,ood_dev,34,102400,0,1747,559434,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017060546875,0.016285316481675992,0.017872010128256594,0.16068301930147058,4.20435172267491
rt_window2_first_ce,1000,ood_dev,35,102400,0,1759,561193,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017177734375,0.016399828478305734,0.017991864339555207,0.15658286830357143,4.2049468264146705
rt_window2_first_ce,1000,ood_dev,36,102400,0,1655,562848,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016162109375,0.015407720082225901,0.016952798933589322,0.15268229166666666,4.206806371526327
rt_window2_first_ce,5000,dev,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.00035200483041535334
rt_window2_first_ce,5000,dev,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0007302648425394409
rt_window2_first_ce,5000,dev,3,102400,102397,102397,307197,307200,0.999970703125,0.9999138592392058,0.9999900363697822,0.999970703125,0.9999138592392058,0.9999900363697822,0.999990234375,0.0009250834040006239
rt_window2_first_ce,5000,dev,4,102400,102396,102398,409595,409600,0.9999609375,0.9998995558365923,0.9999848092550684,0.99998046875,0.9999287823158808,0.9999946438104347,0.99998779296875,0.0011867152786043
rt_window2_first_ce,5000,dev,5,102400,102393,102395,511990,512000,0.999931640625,0.9998588878252541,0.9999668857144244,0.999951171875,0.9998856912053655,0.9999791433689678,0.99998046875,0.0016499901912114367
rt_window2_first_ce,5000,dev,6,102400,102381,102384,614374,614400,0.999814453125,0.999710201380565,0.999881205951185,0.99984375,0.9997461828910157,0.9999038159927167,0.9999576822916667,0.002371419715440375
rt_window2_first_ce,5000,dev,7,102400,102355,102360,716734,716800,0.999560546875,0.9994120800157498,0.9996715338654889,0.999609375,0.9994681629006475,0.9997131035672281,0.9999079241071429,0.003515251007538076
rt_window2_first_ce,5000,dev,8,102400,102291,102302,819036,819200,0.998935546875,0.9987162351185682,0.9991174256537193,0.99904296875,0.9988339404315436,0.9992145560313448,0.9997998046875,0.005512457839019103
rt_window2_first_ce,5000,dev,9,102400,102153,102199,921235,921600,0.997587890625,0.997268201057051,0.9978702483240605,0.998037109375,0.9977466948981926,0.9982901582799777,0.9996039496527778,0.009112696064820973
