first_update,update,updates_in_bin,training_seconds,state_ce,token_accuracy
1,100,100,6.662911338011327,3.7896589493751525,0.0974943059310317
101,200,100,12.024431135007035,3.563559317588806,0.15265788219869136
201,300,100,17.360970634988917,3.4181911993026732,0.18234456911683083
301,400,100,22.730580931980512,3.4069990277290345,0.1834765674173832
401,500,100,28.084882360977645,3.402992823123932,0.184226892888546
501,600,100,33.432536294989404,3.394858138561249,0.1858325245976448
601,700,100,38.80946179098464,3.376300218105316,0.1897127330303192
701,800,100,44.15712479597278,3.332807276248932,0.19766520708799362
801,900,100,49.4921835139794,3.1581301522254943,0.22503581240773202
901,1000,100,54.85456419398179,2.3836628675460814,0.35961264044046404
1001,1100,100,60.22894691900365,1.8051233565807343,0.4991756361722946
1101,1200,100,65.56871767001576,1.3501945209503174,0.6275293177366257
1201,1300,100,70.91589530201963,0.9924778360128402,0.7408097511529923
1301,1400,100,76.31283715901736,0.7580457383394241,0.8105078327655793
1401,1500,100,81.72521827301898,0.5597373196482658,0.8675960493087769
1501,1600,100,87.15160509598718,0.40406182944774627,0.9111116725206375
1601,1700,100,92.61599933199977,0.29769900143146516,0.9365088075399399
1701,1800,100,98.05571230799615,0.22757315665483474,0.952422708272934
1801,1900,100,103.4336594929955,0.1729034638404846,0.9648974817991257
1901,2000,100,108.8452259199803,0.1236833993345499,0.9772412306070328
2001,2100,100,114.23139174998869,0.09905926339328289,0.9810628467798232
2101,2200,100,119.60371637297067,0.06760681267827749,0.988977068066597
2201,2300,100,125.01845179594238,0.05281579688191414,0.9913200056552887
2301,2400,100,130.41942230595305,0.04435706229880452,0.9923380732536315
2401,2500,100,135.80326656392936,0.0416524120233953,0.992127298116684
2501,2600,100,141.22182141595476,0.03266726195812225,0.9941658735275268
2601,2700,100,146.62021461093536,0.029133835528045892,0.9945573085546493
2701,2800,100,151.97470490294654,0.029279978163540363,0.9939754444360733
2801,2900,100,157.34599340894056,0.023775096237659454,0.9953369349241257
2901,3000,100,162.81917325292306,0.022166462959721685,0.9954720240831375
3001,3100,100,168.24406584592725,0.019906627722084524,0.9959301960468292
3101,3200,100,173.64576184191537,0.019303211020305754,0.9958870661258697
3201,3300,100,179.09478206590575,0.017014392940327524,0.9964925348758698
3301,3400,100,184.60219902190147,0.016239045737311244,0.9964591664075851
3401,3500,100,190.0055725239108,0.015090986918658018,0.9966333168745041
3501,3600,100,195.3983622229316,0.014272802816703916,0.9968294495344162
3601,3700,100,200.77351479794015,0.014520994583144785,0.9966325080394745
3701,3800,100,206.1227826069262,0.013020719634369016,0.9970198756456375
3801,3900,100,211.5243067369156,0.012384113939478993,0.9970499861240387
3901,4000,100,216.93903191593927,0.012758121434599161,0.996923034787178
4001,4100,100,222.3451766189428,0.011158778369426726,0.9973209810256958
4101,4200,100,227.7274433519342,0.012060465710237622,0.996975929737091
4201,4300,100,233.12203719893296,0.010961489398032426,0.9972623866796494
4301,4400,100,238.54939082095007,0.010956618362106383,0.9972680848836899
4401,4500,100,243.9892409429558,0.010940080755390227,0.9972689002752304
4501,4600,100,249.41198302495832,0.010451134899631143,0.9972941255569459
4601,4700,100,254.8393971099722,0.009761766516603529,0.9974837428331376
4701,4800,100,260.2614626799368,0.008781792847439646,0.9977758973836899
4801,4900,100,265.67127884792353,0.009510702956467866,0.9975228071212768
4901,5000,100,271.05804728994553,0.009784849614370615,0.9973730653524399
5001,5100,100,276.4537131009456,0.00858586217276752,0.9977384674549102
5101,5200,100,281.906927195927,0.008762580845504998,0.9976229047775269
5201,5300,100,287.33033222494487,0.00786593313794583,0.997962257862091
5301,5400,100,292.717233790936,0.007023169922176748,0.9981917530298233
5401,5500,100,298.1429029689207,0.007757546107750386,0.997901222705841
5501,5600,100,303.52045562892454,0.006684760407079011,0.9982731318473816
5601,5700,100,308.9147986769276,0.007253238728735596,0.998049333691597
5701,5800,100,314.3244385039434,0.006610022888053208,0.9982747614383698
5801,5900,100,319.71361125693875,0.0069687207299284635,0.9980493354797363
5901,6000,100,325.12651029392146,0.006530535770580172,0.9982275623083114
6001,6100,100,330.5099375339305,0.006422646371647716,0.9982649958133698
